Data,TempIns,TempMax,TempMin,UmiIns,UmiMax,UmiMin,Pto-Orvalho-Ins,Pto-Orvalho-Max,Pto-Orvalho-Min,Pressao-Ins,Pressao-Max,Pressao-Min,Vel-Vento,Dir-Vento,Raj-Vento,Radiacao,Chuva
01/01/2017 00:00:00,23.50,24.00,23.40,89.00,90.00,89.00,21.70,22.30,21.50,"1,011.00","1,011.00","1,009.70",3.60,291.00,7.90,0.00,1.40
01/01/2017 01:00:00,23.20,23.60,23.20,91.00,91.00,89.00,21.50,21.70,21.40,"1,011.40","1,011.40","1,010.70",2.50,282.00,7.00,0.00,1.80
01/01/2017 02:00:00,23.50,23.60,23.20,90.00,91.00,90.00,21.70,21.80,21.50,"1,010.10","1,011.40","1,010.10",0.60,323.00,5.10,0.00,0.80
01/01/2017 03:00:00,23.20,23.60,23.10,89.00,90.00,89.00,21.30,21.80,21.30,"1,009.50","1,010.20","1,009.50",1.90,258.00,3.70,0.00,0.00
01/01/2017 04:00:00,23.30,23.30,23.10,88.00,89.00,88.00,21.20,21.40,21.10,"1,009.00","1,009.50","1,008.90",1.30,309.00,4.00,0.00,0.00
01/01/2017 05:00:00,23.20,24.10,23.20,87.00,88.00,83.00,20.90,21.40,20.70,"1,008.20","1,009.00","1,008.20",1.00,334.00,3.80,0.00,0.00
01/01/2017 06:00:00,22.60,23.20,22.60,90.00,90.00,87.00,20.80,21.00,20.80,"1,007.60","1,008.20","1,007.60",0.40,306.00,2.60,0.00,0.00
01/01/2017 07:00:00,22.80,22.90,22.50,89.00,90.00,89.00,20.80,21.00,20.80,"1,007.10","1,007.60","1,007.10",0.60,313.00,2.30,0.00,0.00
01/01/2017 08:00:00,23.60,23.60,22.60,86.00,90.00,86.00,21.20,21.30,20.70,"1,007.30","1,007.50","1,007.10",2.00,359.00,4.00,0.00,0.00
01/01/2017 09:00:00,24.20,24.20,22.90,82.00,88.00,82.00,21.00,21.20,20.60,"1,007.40","1,007.50","1,007.20",1.80,356.00,4.40,23.90,0.00
01/01/2017 10:00:00,25.80,25.80,24.20,76.00,82.00,75.00,21.30,21.30,20.70,"1,007.50","1,007.70","1,007.40",2.70,357.00,6.50,429.40,0.00
01/01/2017 11:00:00,28.30,28.60,25.80,66.00,76.00,66.00,21.40,21.90,21.00,"1,007.90","1,007.90","1,007.40",0.90,119.00,5.00,"1,191.80",0.00
01/01/2017 12:00:00,27.60,28.90,27.00,74.00,75.00,66.00,22.50,22.60,21.40,"1,008.10","1,008.10","1,007.80",2.80,350.00,5.60,"1,258.30",0.00
01/01/2017 13:00:00,29.00,29.10,27.60,66.00,74.00,66.00,21.90,22.70,21.90,"1,008.20","1,008.20","1,007.90",3.50,358.00,5.80,"2,155.10",0.00
01/01/2017 14:00:00,31.30,31.40,29.00,56.00,67.00,56.00,21.60,22.50,21.00,"1,008.10","1,008.30","1,007.90",1.90,2.00,5.80,"3,372.40",0.00
01/01/2017 15:00:00,32.30,32.50,31.00,52.00,59.00,51.00,21.30,22.80,20.90,"1,008.20","1,008.20","1,008.00",2.10,19.00,5.20,"3,666.50",0.00
01/01/2017 16:00:00,33.10,33.60,31.90,52.00,58.00,49.00,21.90,23.20,21.00,"1,008.00","1,008.20","1,008.00",2.30,140.00,4.50,"3,923.30",0.00
01/01/2017 17:00:00,26.70,33.00,26.70,73.00,73.00,52.00,21.40,23.70,21.20,"1,009.70","1,009.70","1,007.80",6.30,221.00,11.60,"1,199.10",0.20
01/01/2017 18:00:00,26.00,26.70,23.80,81.00,83.00,73.00,22.50,22.60,19.60,"1,008.10","1,009.90","1,008.00",2.00,264.00,12.50,447.30,7.40
01/01/2017 19:00:00,30.10,30.10,25.90,64.00,83.00,64.00,22.40,23.70,22.30,"1,007.40","1,008.30","1,007.20",1.20,272.00,3.60,"2,425.30",0.00
01/01/2017 20:00:00,28.00,31.00,27.70,71.00,74.00,59.00,22.20,23.40,21.30,"1,008.60","1,008.60","1,007.30",3.30,237.00,8.80,629.90,0.00
01/01/2017 21:00:00,25.10,28.00,24.20,83.00,83.00,66.00,22.00,22.10,20.20,"1,008.30","1,008.60","1,007.70",1.20,290.00,8.80,121.60,3.20
01/01/2017 22:00:00,25.60,25.60,25.00,84.00,85.00,83.00,22.70,22.80,22.10,"1,008.50","1,008.50","1,008.10",0.40,315.00,6.00,112.90,0.00
01/01/2017 23:00:00,25.00,25.70,24.90,85.00,85.00,83.00,22.30,22.70,22.10,"1,009.10","1,009.10","1,008.30",0.60,280.00,2.30,36.30,0.00
02/01/2017 00:00:00,24.90,25.60,24.90,84.00,85.00,81.00,21.90,22.50,21.80,"1,010.10","1,010.10","1,009.10",0.90,278.00,2.40,0.00,0.00
02/01/2017 01:00:00,24.30,24.90,24.00,87.00,87.00,83.00,21.90,21.90,21.70,"1,010.70","1,010.70","1,010.00",1.10,267.00,2.80,0.00,0.00
02/01/2017 02:00:00,24.30,24.40,24.20,86.00,87.00,86.00,21.80,22.00,21.80,"1,010.60","1,011.10","1,010.60",0.20,280.00,2.80,0.00,0.00
02/01/2017 03:00:00,24.40,24.40,24.10,85.00,86.00,85.00,21.70,21.90,21.60,"1,010.20","1,010.60","1,010.10",0.90,352.00,2.10,0.00,0.00
02/01/2017 04:00:00,24.30,24.40,23.90,84.00,86.00,84.00,21.50,21.70,21.40,"1,009.60","1,010.30","1,009.50",1.20,276.00,2.50,0.00,0.00
02/01/2017 05:00:00,24.00,24.40,23.80,85.00,85.00,84.00,21.20,21.50,21.10,"1,008.70","1,009.70","1,008.70",0.40,12.00,2.50,0.00,0.00
02/01/2017 06:00:00,23.60,24.10,23.60,86.00,86.00,84.00,21.10,21.40,20.90,"1,008.30","1,008.80","1,008.30",0.60,250.00,1.80,0.00,0.00
02/01/2017 07:00:00,22.80,23.60,22.80,88.00,88.00,86.00,20.70,21.20,20.70,"1,008.10","1,008.60","1,008.10",0.60,323.00,2.00,0.00,0.00
02/01/2017 08:00:00,23.20,23.50,22.60,84.00,89.00,84.00,20.40,21.00,20.40,"1,008.80","1,008.80","1,008.10",1.50,257.00,2.70,0.00,0.00
02/01/2017 09:00:00,23.00,23.50,22.90,86.00,86.00,83.00,20.50,20.60,20.10,"1,008.90","1,008.90","1,008.50",0.00,273.00,2.50,24.60,0.00
02/01/2017 10:00:00,27.50,27.50,23.00,72.00,86.00,72.00,21.90,22.30,20.50,"1,009.30","1,009.40","1,008.90",0.00,252.00,2.00,448.00,0.00
02/01/2017 11:00:00,28.30,29.80,27.20,65.00,71.00,61.00,21.10,22.10,20.20,"1,009.70","1,009.70","1,009.30",0.20,166.00,1.50,"1,206.50",0.00
02/01/2017 12:00:00,28.50,30.80,27.90,65.00,66.00,58.00,21.40,22.40,20.50,"1,010.00","1,010.00","1,009.70",1.10,145.00,2.40,"1,646.70",0.00
02/01/2017 13:00:00,30.00,31.30,28.50,64.00,66.00,60.00,22.50,23.20,21.10,"1,010.20","1,010.30","1,010.00",1.40,139.00,2.50,"2,697.00",0.00
02/01/2017 14:00:00,31.30,32.10,29.80,60.00,65.00,53.00,22.50,23.60,21.20,"1,010.60","1,010.60","1,010.10",1.10,165.00,2.80,"3,251.00",0.00
02/01/2017 15:00:00,30.70,31.50,30.50,68.00,69.00,59.00,24.10,24.80,22.00,"1,010.90","1,010.90","1,010.60",3.80,156.00,7.40,"3,699.50",0.00
02/01/2017 16:00:00,29.20,30.90,28.90,75.00,77.00,67.00,24.30,24.90,23.50,"1,010.80","1,011.00","1,010.70",4.20,159.00,9.70,"2,896.80",0.00
02/01/2017 17:00:00,28.60,30.10,28.60,75.00,77.00,72.00,23.70,25.30,23.50,"1,010.50","1,010.90","1,010.40",5.30,142.00,9.50,"3,610.70",0.00
02/01/2017 18:00:00,28.60,29.40,28.40,71.00,77.00,71.00,22.80,24.50,22.60,"1,010.30","1,010.60","1,010.20",4.80,156.00,10.50,"2,210.90",0.00
02/01/2017 19:00:00,27.50,28.60,27.40,75.00,77.00,70.00,22.70,23.10,22.30,"1,011.00","1,011.10","1,010.30",4.10,160.00,10.50,"1,200.00",0.00
02/01/2017 20:00:00,26.90,27.70,26.90,76.00,78.00,71.00,22.30,23.30,21.90,"1,010.90","1,011.00","1,010.80",4.50,147.00,8.80,634.30,0.00
02/01/2017 21:00:00,26.50,26.90,26.50,78.00,79.00,75.00,22.40,22.70,21.90,"1,011.00","1,011.10","1,010.60",5.50,152.00,11.30,461.70,0.00
02/01/2017 22:00:00,26.30,26.70,26.30,76.00,78.00,73.00,21.80,22.40,21.40,"1,011.40","1,011.40","1,010.90",5.20,152.00,10.70,207.40,0.00
02/01/2017 23:00:00,26.00,26.30,25.90,79.00,80.00,76.00,22.00,22.30,21.70,"1,012.30","1,012.30","1,011.40",5.50,151.00,11.30,10.20,0.00
03/01/2017 00:00:00,25.80,26.20,25.80,79.00,80.00,77.00,21.80,22.40,21.50,"1,012.90","1,013.00","1,012.30",4.30,149.00,11.00,0.00,0.00
03/01/2017 01:00:00,25.80,25.90,25.70,78.00,79.00,77.00,21.70,22.00,21.40,"1,013.40","1,013.40","1,012.80",3.60,147.00,8.40,0.00,0.00
